Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,TUN,Barcelona,Spain,ESP,260,257,298,815,8.417683601,5568.7431592738,N,N,N,N,N,0,0,0,0,NA,NA,14,0,0,0,0
1992,TUR,Barcelona,Spain,ESP,260,257,298,815,54.8405304,9901.46445593094,N,N,N,N,N,1,2,0,3,NA,NA,50,2,2,2,6
1992,UAE,Barcelona,Spain,ESP,260,257,298,815,1.970026016,98959.4561273043,N,N,N,N,N,0,0,0,0,NA,NA,24,0,0,0,0
1992,UGA,Barcelona,Spain,ESP,260,257,298,815,18.0404377,794.867998130666,N,N,N,N,N,0,0,0,0,0,1,9,0,0,0,0
1992,URU,Barcelona,Spain,ESP,260,257,298,815,3.132050037,9277.45806954999,N,N,N,N,N,0,0,0,0,NA,NA,16,0,0,0,0
1992,USA,Barcelona,Spain,ESP,260,257,298,815,254.974823,35751.5651653183,Y,N,N,Y,N,36,94,83,174,NA,NA,479,37,34,37,108
1992,VAN,Barcelona,Spain,ESP,260,257,298,815,0.150716,1253.35067278856,N,N,N,N,N,0,0,NA,NA,NA,NA,8,0,0,0,0
1992,VEN,Barcelona,Spain,ESP,260,257,298,815,20.33207893,8244.86596659105,N,N,N,N,N,0,0,0,3,0,1,18,0,0,0,0
1992,VIE,Barcelona,Spain,ESP,260,257,298,815,69.67089844,1350.14675576502,N,N,N,N,N,0,0,NA,NA,0,0,10,0,0,0,0
1992,VIN,Barcelona,Spain,ESP,260,257,298,815,0.107813999,6077.47154615793,N,N,N,N,N,0,0,NA,NA,NA,NA,5,0,0,0,0
1992,YEM,Barcelona,Spain,ESP,260,257,298,815,12.66161442,638.700078263795,N,N,N,N,N,NA,NA,NA,NA,NA,NA,8,0,0,0,0
1992,ZAM,Barcelona,Spain,ESP,260,257,298,815,8.239731789,1309.93614068959,N,N,N,N,N,0,0,0,1,0,0,11,0,0,0,0
1992,ZIM,Barcelona,Spain,ESP,260,257,298,815,10.44304276,5041.10813484786,N,N,N,N,N,0,0,0,0,1,1,26,0,0,0,0
1996,AFG,Atlanta,USA,USA,271,273,298,842,18.11,NA,N,N,N,N,N,NA,NA,0,0,NA,NA,2,0,0,0,0
