Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
2000,GBS,GNB,3,0,0,0,0
2004,GBS,GNB,3,0,0,0,0
2008,GBS,GNB,3,0,0,0,0
2012,GBS,GNB,4,0,0,0,0
2016,GBS,GNB,5,0,0,0,0
1976,GDR,DDR,279,40,25,25,90
1980,GDR,DDR,331,47,37,42,126
1988,GDR,DDR,283,37,35,30,102
1996,GEO,GEO,41,0,0,2,2
2000,GEO,GEO,45,0,0,6,6
2004,GEO,GEO,39,2,2,0,4
2008,GEO,GEO,36,3,0,3,6
2012,GEO,GEO,35,1,3,3,7
2016,GEO,GEO,43,2,1,4,7
1984,GEQ,GNQ,5,0,0,0,0
1988,GEQ,GNQ,7,0,0,0,0
1992,GEQ,GNQ,8,0,0,0,0
1996,GEQ,GNQ,5,0,0,0,0
2000,GEQ,GNQ,4,0,0,0,0
2004,GEQ,GNQ,2,0,0,0,0
2008,GEQ,GNQ,3,0,0,0,0
2012,GEQ,GNQ,2,0,0,0,0
2016,GEQ,GNQ,1,0,0,0,0
1992,GER,DEU,423,33,21,28,82
1996,GER,DEU,394,20,18,27,65
2000,GER,DEU,373,13,17,26,56
2004,GER,DEU,376,13,16,20,49
